feature,coefficient
TS%,-1.4804667736014894
USG%,-1.1897508790237576
age,-0.8328052269105752
TOV%,-0.6154115623782795
WS48,0.613415752171387
AST%,0.44135829302729984
BPM,-0.3566870070538128
3PAr,-0.2942709696062028
